gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
aldA,aldA,aldehyde dehydrogenase A%2C NAD-linked,aldehyde dehydrogenase%2C NAD-linked,NC_000913.3:1488231-1489671,16129376,(METABOLISM) [C] Energy production and conversion,[COG1012] Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,945672,NP_415933.1,479,"aldehyde dehydrogenase A, NAD-linked",191.263,224.865,182.392,241.355,106.46
aldB,aldB,aldehyde dehydrogenase B,aldehyde dehydrogenase B (lactaldehyde dehydrogenase),NC_000913.3:3754972-3756511,90111619,(METABOLISM) [C] Energy production and conversion,[COG1012] Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,948104,NP_418045.4,512,aldehyde dehydrogenase B,9.80286,8.39537,9.8968,8.58289,6.4318
alkA,alkA,3-methyl-adenine DNA glycosylase II,3-methyl-adenine DNA glycosylase II%2C inducible,NC_000913.3:2146691-2147540,16130008,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG0122] 3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,947371,NP_416572.1,282,3-methyl-adenine DNA glycosylase II,9.37791,6.70805,8.94835,9.14683,7.67555
alkB,alkB,oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions,DNA repair system specific for alkylated DNA,NC_000913.3:2308690-2310405,16130149,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG3145] Alkylated DNA repair dioxygenase AlkB,946708,NP_416716.1,216,oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions,4.58346,4.76056,4.84872,4.56684,3.52001
allA,allA,ureidoglycolate lyase%2C releasing urea,,NC_000913.3:532450-532933,16128489,(METABOLISM) [F] Nucleotide transport and metabolism,[COG3194] Ureidoglycolate hydrolase (allantoin degradation),945141,NP_415038.1,160,"ureidoglycolate lyase, releasing urea",4.71406,3.7,6.19493,4.38245,5.39503
allB,allB,allantoinase,,NC_000913.3:539146-540508,16128496,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0044] Dihydroorotase or related cyclic amidohydrolase,945134,NP_415045.1,453,allantoinase,2.05379,1.64133,3.62604,2.34183,2.37378
allC,allC,allantoate amidohydrolase,,NC_000913.3:544056-545292,16128500,(METABOLISM) [E] Amino acid transport and metabolism,[COG0624] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase,945150,NP_415049.1,411,allantoate amidohydrolase,2.60773,3.28119,4.34985,6.46484,4.01016
allD,allD,ureidoglycolate dehydrogenase,,NC_000913.3:545313-546363,16128501,(METABOLISM) [C] Energy production and conversion,"[COG2055] Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family",948342,NP_415050.1,349,ureidoglycolate dehydrogenase,0.946237,1.86693,2.95548,1.76877,2.21361
allE,allE,S-ureidoglycine aminohydrolase,,NC_000913.3:543260-544046,16128499,(POORLY CHARACTERIZED) [S] Function unknown,"[COG3257] Uncharacterized protein, possibly involved in glyoxylate utilization",945149,NP_415048.1,261,S-ureidoglycine aminohydrolase,9.69668,9.62353,12.4195,17.3595,15.8965
allR,allR,glyoxylate-inducible transcriptional repressor of all and gcl operons,,NC_000913.3:533010-533826,16128490,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1414] DNA-binding transcriptional regulator, IclR family",945333,NP_415039.1,271,glyoxylate-inducible transcriptional repressor of all and gcl operons,55.6814,49.1616,51.508,49.0553,46.6486
allS,allS,allD operon transcriptional activator,putative transcriptional regulator LYSR-type,NC_000913.3:531294-532221,16128488,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",945139,NP_415037.1,308,allD operon transcriptional activator,1.68427,1.69256,2.09233,1.51302,2.98712
alpA,alpA,CP4-57 prophage%3B DNA-binding transcriptional activator,prophage CP4-57 regulatory protein alpA,NC_000913.3:2758643-2758856,16130542,"(INFORMATION STORAGE AND PROCESSING) [K] Transcription; [X] Mobilome: prophages, transposons",[COG3311] Predicted DNA-binding transcriptional regulator AlpA,946758,NP_417113.1,70,CP4-57 prophage; DNA-binding transcriptional activator,1.92671,0.0,1.10206,0.0,0.0
alr,alr,alanine racemase%2C biosynthetic%2C PLP-binding,alanine racemase 1,NC_000913.3:4265781-4266861,16131879,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG0787] Alanine racemase,948564,NP_418477.1,359,"alanine racemase, biosynthetic, PLP-binding",22.8826,22.6882,17.0132,20.2611,19.8888
alsA,alsA,D-allose ABC transporter ATPase,,NC_000913.3:4308488-4310980,16131913,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1129] ABC-type sugar transport system, ATPase component",948593,NP_418511.1,510,D-allose ABC transporter ATPase,0.653661,0.831863,2.05336,2.23047,2.07645
alsB,alsB,D-allose ABC transporter periplasmic binding protein,periplasmic-binding component of ABC superfamily,NC_000913.3:4311106-4312042,16131914,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1879] ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain",948604,NP_418512.1,311,D-allose ABC transporter periplasmic binding protein,3.40173,2.74359,3.1433,7.37023,5.41222
alsC,alsC,D-allose ABC transporter permease,membrane component of ABC superfamily,NC_000913.3:4308488-4310980,16131912,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1172] Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component",948594,NP_418510.1,326,D-allose ABC transporter permease,1.50478,1.64443,2.81401,3.53296,4.64793
alsE,alsE,allulose-6-phosphate 3-epimerase,,NC_000913.3:4306869-4308478,16131911,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0036] Pentose-5-phosphate-3-epimerase,948595,NP_418509.1,231,allulose-6-phosphate 3-epimerase,1.99357,0.969019,1.79968,3.09747,2.6238
alsK,alsK,D-allose kinase,,NC_000913.3:4306869-4308478,16131910,(INFORMATION STORAGE AND PROCESSING | METABOLISM) [K] Transcription; [G] Carbohydrate transport and metabolism,"[COG1940] Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain",948596,NP_418508.1,309,D-allose kinase,4.66835,3.844,3.91819,4.19835,6.69456
alsR,alsR,d-allose-inducible als operon transcriptional repressor%3B autorepressor%3B repressor of rpiR,transcriptional repressor of rpiB expression,NC_000913.3:4312100-4312991,90111685,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1737] DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains",948603,NP_418513.4,296,d-allose-inducible als operon transcriptional repressor; autorepressor; repressor of rpiR,20.1339,21.5246,8.43196,11.795,13.3272
alx,alx,putative membrane-bound redox modulator,putative transport protein,NC_000913.3:3238579-3239545,49176311,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG0861] Membrane protein TerC, possibly involved in tellurium resistance",947607,YP_026201.1,321,putative membrane-bound redox modulator,1.67222,1.41735,4.3795,5.4498,4.73528
amiA,amiA,N-acetylmuramoyl-l-alanine amidase I,,NC_000913.3:2552351-2553221,16130360,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG0860] N-acetylmuramoyl-L-alanine amidase,946916,NP_416930.1,289,N-acetylmuramoyl-l-alanine amidase I,63.1435,65.7535,23.9673,14.2472,11.8418
amiB,amiB,N-acetylmuramoyl-l-alanine amidase II,N-acetylmuramoyl-l-alanine amidase II%3B a murein hydrolase,NC_000913.3:4396064-4397402,16131991,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG0860] N-acetylmuramoyl-L-alanine amidase,948683,NP_418590.1,445,N-acetylmuramoyl-l-alanine amidase II,34.2934,32.0853,16.2152,20.2417,19.2721
amiC,amiC,N-acetylmuramoyl-L-alanine amidase,,NC_000913.3:2947756-2949010,90111492,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG0860] N-acetylmuramoyl-L-alanine amidase,947293,NP_417294.4,417,N-acetylmuramoyl-L-alanine amidase,12.6185,17.797,10.8417,17.7879,16.7028
amiD,amiD,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B OM lipoprotein,,NC_000913.3:904592-906753,16128835,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3023] N-acetyl-anhydromuramyl-L-alanine amidase AmpD,945494,NP_415388.1,276,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein",74.1955,66.6366,47.2878,29.539,29.1608
amn,amn,AMP nucleosidase,,NC_000913.3:2055060-2056515,16129926,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0775] Nucleoside phosphorylase,946508,NP_416489.1,484,AMP nucleosidase,28.3739,28.7045,31.7695,38.097,39.9346
ampC,ampC,penicillin-binding protein%3B beta-lactamase%2C intrinsically weak,beta-lactamase%3B penicillin resistance,NC_000913.3:4377810-4378944,16131975,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,"[COG1680] CubicO group peptidase, beta-lactamase class C family",948669,NP_418574.1,377,"penicillin-binding protein; beta-lactamase, intrinsically weak",4.26456,4.42457,5.5312,11.9061,8.34542
ampD,ampD,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase,regulates ampC,NC_000913.3:118732-120135,16128103,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3023] N-acetyl-anhydromuramyl-L-alanine amidase AmpD,948877,NP_414652.1,183,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",29.0264,27.1695,30.0863,28.2145,29.3487
ampE,ampE,ampicillin resistance inner membrane protein%3B putative signaling protein in beta-lactamase regulation,regulates ampC,NC_000913.3:118732-120135,16128104,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG3725] Membrane protein required for beta-lactamase induction,946678,NP_414653.1,284,ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation,23.5246,23.4622,23.1009,26.6062,27.2257
ampG,ampG,muropeptide transporter,regulates beta-lactamase synthesis,NC_000913.3:452069-453545,16128418,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG2223] Nitrate/nitrite transporter NarK,946438,NP_414967.1,491,muropeptide transporter,6.64972,9.6653,7.25534,7.4221,6.54892
ampH,ampH,D-alanyl-D-alanine-carboxypeptidase/endopeptidase%3B penicillin-binding protein%3B weak beta-lactamase,,NC_000913.3:395129-396287,16128361,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,"[COG1680] CubicO group peptidase, beta-lactamase class C family",946904,NP_414910.1,385,D-alanyl-D-alanine-carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase,8.43602,11.4456,5.3335,6.72243,6.9344
amtB,amtB,ammonium transporter,probable ammonium transporter,NC_000913.3:472965-474252,16128436,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG0004] Ammonia channel protein AmtB,945084,NP_414985.1,428,ammonium transporter,4.43127,4.19223,5.91581,5.9512,7.31713
amyA,amyA,cytoplasmic alpha-amylase,,NC_000913.3:2006155-2007643,16129874,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0366] Glycosidase,946434,NP_416437.1,495,cytoplasmic alpha-amylase,10.3489,9.42156,10.4708,7.3549,7.92088
anmK,anmK,anhydro-N-acetylmuramic acid kinase,,NC_000913.3:1718492-1719602,16129598,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,"[COG2377] 1,6-Anhydro-N-acetylmuramate kinase",946810,NP_416157.1,369,anhydro-N-acetylmuramic acid kinase,18.0811,13.6638,16.1365,23.9794,19.991
ansA,ansA,cytoplasmic L-asparaginase 1,,NC_000913.3:1850859-1851876,16129721,"(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis; [U] Intracellular trafficking, secretion, and vesicular transport",[COG0252] L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,946278,NP_416281.1,338,cytoplasmic L-asparaginase 1,11.2691,15.4502,9.50861,9.95895,8.75342
ansB,ansB,periplasmic L-asparaginase 2,,NC_000913.3:3099681-3100728,16130858,"(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis; [U] Intracellular trafficking, secretion, and vesicular transport",[COG0252] L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,947454,NP_417432.1,348,periplasmic L-asparaginase 2,1187.31,1134.13,1394.95,1231.97,1521.92
ansP,ansP,L-asparagine transporter,L-asparagine permease,NC_000913.3:1524480-1525980,90111277,(METABOLISM) [E] Amino acid transport and metabolism,[COG1113] L-asparagine transporter and related permeases,946019,NP_415970.4,499,L-asparagine transporter,2.05122,1.62722,3.58645,2.03842,2.88447
apaG,apaG,protein associated with Co2+ and Mg2+ efflux,,NC_000913.3:51228-51606,16128044,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG2967] Uncharacterized protein affecting Mg2+/Co2+ transport,944772,NP_414592.1,125,protein associated with Co2+ and Mg2+ efflux,67.6576,62.4084,42.7597,40.9667,39.1739
apaH,apaH,diadenosine tetraphosphatase,,NC_000913.3:50379-51222,16128043,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,"[COG0639] Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family",944770,NP_414591.1,280,diadenosine tetraphosphatase,21.0601,21.5936,16.362,17.9693,18.0066
apbE,apbE,putative thiamine-synthetic flavin transferase lipoprotein,,NC_000913.3:2310478-2311534,16130151,(METABOLISM) [H] Coenzyme transport and metabolism,[COG1477] Thiamine biosynthesis lipoprotein ApbE,946711,NP_416718.1,351,putative thiamine-synthetic flavin transferase lipoprotein,7.20578,8.28696,5.37003,3.05145,4.82285
aphA,aphA,acid phosphatase/phosphotransferase%2C class B%2C non-specific,diadenosine tetraphosphatase,NC_000913.3:4269413-4270127,16131881,(METABOLISM) [P] Inorganic ion transport and metabolism; [R] General function prediction only,[COG3700] Acid phosphatase (class B),948562,NP_418479.1,237,"acid phosphatase/phosphotransferase, class B, non-specific",66.4835,77.0635,46.191,113.712,118.909
appA,appA,phosphoanhydride phosphorylase,phosphoanhydride phosphorylase%3B pH 2.5 acid phosphatase%3B periplasmic,NC_000913.3:1040616-1041915,-,-,-,-,-,-,-,9.50794,8.66075,6.13472,5.1614,11.1377
appY,appY,global transcriptional activator%3B DLP12 prophage,regulatory protein affecting appA and other genes,NC_000913.3:583680-584430,16128547,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,[COG2207] AraC-type DNA-binding domain and AraC-containing proteins,948797,NP_415096.1,249,global transcriptional activator; DLP12 prophage,5.9076,6.07386,1.52513,1.12509,1.08202
apt,apt,adenine phosphoribosyltransferase,,NC_000913.3:491411-491963,16128453,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0503] Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein,945113,NP_415002.1,183,adenine phosphoribosyltransferase,14.8006,20.8079,13.3169,20.5775,19.1832
aqpZ,aqpZ,aquaporin Z,transmembrane water channel%3B aquaporin Z,NC_000913.3:915351-916047,16128843,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0580] Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family),945497,NP_415396.1,231,aquaporin Z,10.3876,8.33357,10.6781,8.05342,7.15582
araA,araA,L-arabinose isomerase,,NC_000913.3:66834-68337,16128056,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG2160] L-arabinose isomerase,947511,NP_414604.1,500,L-arabinose isomerase,2.63138,2.55135,3.53071,4.37588,5.94469
araB,araB,L-ribulokinase,,NC_000913.3:68347-70048,16128057,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG1069] Ribulose kinase,946017,NP_414605.1,566,L-ribulokinase,0.727865,0.673772,1.78747,1.9869,2.25979
araC,araC,ara regulon transcriptional activator%3B autorepressor,transcriptional regulator for ara operon,NC_000913.3:70386-71265,16128058,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,[COG2207] AraC-type DNA-binding domain and AraC-containing proteins,944780,NP_414606.1,292,ara regulon transcriptional activator; autorepressor,6.87576,7.2947,7.68026,14.7601,17.1837
araD,araD,L-ribulose-5-phosphate 4-epimerase,,NC_000913.3:65854-66550,16128055,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0235] Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase,945294,NP_414603.1,231,L-ribulose-5-phosphate 4-epimerase,1.57387,1.16282,1.43974,2.9426,1.43116
araE,araE,arabinose transporter,low-affinity L-arabinose transport system proton symport protein,NC_000913.3:2980763-2982182,16130745,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG2814] Predicted arabinose efflux permease, MFS family",947341,NP_417318.1,472,arabinose transporter,12.5659,11.9999,9.519,6.77253,7.35074
araF,araF,L-arabinose ABC transporter periplasmic binding protein,L-arabinose-binding periplasmic protein%3B periplasmic-binding component of ABC superfamily,NC_000913.3:1985138-1986128,16129851,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1879] ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain",946409,NP_416414.1,329,L-arabinose ABC transporter periplasmic binding protein,6.02133,4.37928,9.27791,11.5819,6.35926
araG,araG,L-arabinose ABC transporter ATPase,ATP-binding component of high-affinity L-arabinose transport system,NC_000913.3:1983554-1985069,16129850,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1129] ABC-type sugar transport system, ATPase component",946408,NP_416413.1,504,L-arabinose ABC transporter ATPase,4.71931,4.17627,5.39092,5.92528,5.9385
araH,araH,L-arabinose ABC transporter permease,high-affinity L-arabinose transport protein (ABC superfamily%2C membrane),NC_000913.3:1982553-1983540,145698280,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG1172] Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component",948923,YP_026162.2,328,L-arabinose ABC transporter permease,4.95681,6.21603,8.92371,6.11264,5.84426
araJ,araJ,L-arabinose-inducible putative transporter%2C MFS family,involved in either transport or processing of arabinose polymers,NC_000913.3:411296-412481,49176018,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG2814] Predicted arabinose efflux permease, MFS family",949077,NP_414930.3,394,"L-arabinose-inducible putative transporter, MFS family",3.23057,2.68469,3.87879,2.82805,2.97263
arcA,arcA,response regulator in two-component regulatory system with ArcB or CpxA,negative response regulator of genes in aerobic pathways%2C (sensors%2C ArcB and CpxA),NC_000913.3:4639589-4640306,16132218,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [T] Signal transduction mechanisms; [K] Transcription,"[COG0745] DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain",948874,NP_418818.1,238,response regulator in two-component regulatory system with ArcB or CpxA,467.006,442.638,276.453,264.488,269.553
